file_name,MQ_Value,static,dynamic,class_names,class_terms,commits,contributors
0_s_0_d_17_cn_1_ct_2_com_0_con.mdg,1.8642960475837114,0,0,85,5,10,0
0_s_7_d_6_cn_3_ct_4_com_0_con.mdg,1.6494217122449104,0,35,30,15,20,0
0_s_0_d_7_cn_1_ct_12_com_0_con.mdg,1.6888862487037404,0,0,35,5,60,0
0_s_2_d_12_cn_4_ct_2_com_0_con.mdg,1.6324438816504192,0,10,60,20,10,0
0_s_9_d_1_cn_3_ct_7_com_0_con.mdg,1.6167983865955737,0,45,5,15,35,0
0_s_5_d_0_cn_8_ct_7_com_0_con.mdg,1.3088638367959324,0,25,0,40,35,0
0_s_2_d_17_cn_0_ct_1_com_0_con.mdg,2.05508227979421,0,10,85,0,5,0
0_s_10_d_1_cn_6_ct_3_com_0_con.mdg,1.5093974562717871,0,50,5,30,15,0
0_s_7_d_1_cn_5_ct_7_com_0_con.mdg,1.3853475085225901,0,35,5,25,35,0
0_s_0_d_15_cn_3_ct_2_com_0_con.mdg,1.6833252669763117,0,0,75,15,10,0
0_s_2_d_5_cn_7_ct_6_com_0_con.mdg,1.4038501908898169,0,10,25,35,30,0
0_s_2_d_10_cn_6_ct_2_com_0_con.mdg,1.5135405911240178,0,10,50,30,10,0
0_s_9_d_3_cn_1_ct_7_com_0_con.mdg,1.9098919636009106,0,45,15,5,35,0
0_s_1_d_15_cn_0_ct_4_com_0_con.mdg,1.7266554326304493,0,5,75,0,20,0
0_s_14_d_0_cn_5_ct_1_com_0_con.mdg,1.5160115092064625,0,70,0,25,5,0
0_s_10_d_3_cn_4_ct_3_com_0_con.mdg,1.4765195841913399,0,50,15,20,15,0
0_s_15_d_2_cn_2_ct_1_com_0_con.mdg,2.089071744273634,0,75,10,10,5,0
0_s_2_d_15_cn_2_ct_1_com_0_con.mdg,1.8164610522205176,0,10,75,10,5,0
0_s_6_d_12_cn_2_ct_0_com_0_con.mdg,1.9339814149457852,0,30,60,10,0,0
0_s_0_d_6_cn_8_ct_6_com_0_con.mdg,1.373376586302354,0,0,30,40,30,0
0_s_0_d_15_cn_0_ct_5_com_0_con.mdg,1.675466673927175,0,0,75,0,25,0
0_s_4_d_12_cn_0_ct_4_com_0_con.mdg,1.682789552103835,0,20,60,0,20,0
0_s_0_d_9_cn_7_ct_4_com_0_con.mdg,1.4407127279192553,0,0,45,35,20,0
0_s_1_d_7_cn_5_ct_7_com_0_con.mdg,1.344809481739937,0,5,35,25,35,0
0_s_5_d_8_cn_1_ct_6_com_0_con.mdg,1.8291725541553023,0,25,40,5,30,0
0_s_4_d_3_cn_7_ct_6_com_0_con.mdg,1.4025320056842856,0,20,15,35,30,0
0_s_6_d_6_cn_5_ct_3_com_0_con.mdg,1.5614864043852552,0,30,30,25,15,0
0_s_3_d_15_cn_2_ct_0_com_0_con.mdg,1.8812770930891105,0,15,75,10,0,0
