project,file_name,ground_truth,MoJoFM,MoJoFM-D,MovesAndJoins,MaxDistance,static,dynamic,class_names,class_terms,commits,contributors
everest,0_s_3_d_8_cn_9_ct_0_com_0_con.mdg0_s_3_d_8_cn_9_ct_0_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,15,40,45,0,0
everest,0_s_7_d_1_cn_12_ct_0_com_0_con.mdg0_s_7_d_1_cn_12_ct_0_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,35,5,60,0,0
everest,0_s_1_d_2_cn_1_ct_16_com_0_con.mdg0_s_1_d_2_cn_1_ct_16_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,5,10,5,80,0
everest,0_s_3_d_13_cn_4_ct_0_com_0_con.mdg0_s_3_d_13_cn_4_ct_0_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,15,65,20,0,0
everest,0_s_6_d_1_cn_6_ct_7_com_0_con.mdg0_s_6_d_1_cn_6_ct_7_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,30,5,30,35,0
everest,0_s_9_d_3_cn_3_ct_5_com_0_con.mdg0_s_9_d_3_cn_3_ct_5_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,45,15,15,25,0
everest,0_s_3_d_12_cn_3_ct_2_com_0_con.mdg0_s_3_d_12_cn_3_ct_2_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,15,60,15,10,0
everest,0_s_4_d_10_cn_0_ct_6_com_0_con.mdg0_s_4_d_10_cn_0_ct_6_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,20,50,0,30,0
everest,0_s_13_d_1_cn_2_ct_4_com_0_con.mdg0_s_13_d_1_cn_2_ct_4_com_0_con.mdg.bunch,everest_4.rsf,66.66666666666667,50.0,3.0,9.0,0,65,5,10,20,0
everest,0_s_6_d_3_cn_7_ct_4_com_0_con.mdg0_s_6_d_3_cn_7_ct_4_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,30,15,35,20,0
everest,0_s_5_d_3_cn_7_ct_5_com_0_con.mdg0_s_5_d_3_cn_7_ct_5_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,25,15,35,25,0
everest,0_s_10_d_3_cn_2_ct_5_com_0_con.mdg0_s_10_d_3_cn_2_ct_5_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,50,15,10,25,0
everest,0_s_7_d_9_cn_2_ct_2_com_0_con.mdg0_s_7_d_9_cn_2_ct_2_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,35,45,10,10,0
everest,0_s_2_d_7_cn_3_ct_8_com_0_con.mdg0_s_2_d_7_cn_3_ct_8_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,10,35,15,40,0
everest,0_s_5_d_5_cn_6_ct_4_com_0_con.mdg0_s_5_d_5_cn_6_ct_4_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,25,25,30,20,0
everest,0_s_1_d_7_cn_3_ct_9_com_0_con.mdg0_s_1_d_7_cn_3_ct_9_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,5,35,15,45,0
everest,0_s_11_d_2_cn_2_ct_5_com_0_con.mdg0_s_11_d_2_cn_2_ct_5_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,55,10,10,25,0
everest,0_s_4_d_7_cn_1_ct_8_com_0_con.mdg0_s_4_d_7_cn_1_ct_8_com_0_con.mdg.bunch,everest_4.rsf,66.66666666666667,50.0,3.0,9.0,0,20,35,5,40,0
everest,0_s_1_d_10_cn_1_ct_8_com_0_con.mdg0_s_1_d_10_cn_1_ct_8_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,5,50,5,40,0
everest,0_s_9_d_5_cn_2_ct_4_com_0_con.mdg0_s_9_d_5_cn_2_ct_4_com_0_con.mdg.bunch,everest_6.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,45,25,10,20,0
everest,0_s_2_d_1_cn_10_ct_7_com_0_con.mdg0_s_2_d_1_cn_10_ct_7_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,10,5,50,35,0
everest,0_s_12_d_6_cn_2_ct_0_com_0_con.mdg0_s_12_d_6_cn_2_ct_0_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,60,30,10,0,0
everest,0_s_1_d_0_cn_14_ct_5_com_0_con.mdg0_s_1_d_0_cn_14_ct_5_com_0_con.mdg.bunch,everest_7.rsf,62.5,45.45454545454546,3.0,8.0,0,5,0,70,25,0
everest,0_s_1_d_11_cn_5_ct_3_com_0_con.mdg0_s_1_d_11_cn_5_ct_3_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,5,55,25,15,0
everest,0_s_0_d_0_cn_19_ct_1_com_0_con.mdg0_s_0_d_0_cn_19_ct_1_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,0,0,95,5,0
everest,0_s_14_d_2_cn_2_ct_2_com_0_con.mdg0_s_14_d_2_cn_2_ct_2_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,70,10,10,10,0
everest,0_s_3_d_7_cn_5_ct_5_com_0_con.mdg0_s_3_d_7_cn_5_ct_5_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,15,35,25,25,0
everest,0_s_7_d_5_cn_0_ct_8_com_0_con.mdg0_s_7_d_5_cn_0_ct_8_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,35,25,0,40,0
everest,0_s_20_d_0_cn_0_ct_0_com_0_con.mdg0_s_20_d_0_cn_0_ct_0_com_0_con.mdg.bunch,everest_4.rsf,66.66666666666667,50.0,3.0,9.0,0,100,0,0,0,0
everest,0_s_1_d_17_cn_1_ct_1_com_0_con.mdg0_s_1_d_17_cn_1_ct_1_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,5,85,5,5,0
everest,0_s_1_d_4_cn_12_ct_3_com_0_con.mdg0_s_1_d_4_cn_12_ct_3_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,5,20,60,15,0
everest,0_s_2_d_12_cn_1_ct_5_com_0_con.mdg0_s_2_d_12_cn_1_ct_5_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,10,60,5,25,0
everest,0_s_0_d_6_cn_13_ct_1_com_0_con.mdg0_s_0_d_6_cn_13_ct_1_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,0,30,65,5,0
everest,0_s_2_d_2_cn_2_ct_14_com_0_con.mdg0_s_2_d_2_cn_2_ct_14_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,10,10,10,70,0
everest,0_s_12_d_0_cn_6_ct_2_com_0_con.mdg0_s_12_d_0_cn_6_ct_2_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,60,0,30,10,0
everest,0_s_5_d_3_cn_2_ct_10_com_0_con.mdg0_s_5_d_3_cn_2_ct_10_com_0_con.mdg.bunch,everest_7.rsf,62.5,45.45454545454546,3.0,8.0,0,25,15,10,50,0
everest,0_s_0_d_19_cn_1_ct_0_com_0_con.mdg0_s_0_d_19_cn_1_ct_0_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,0,95,5,0,0
everest,0_s_0_d_6_cn_0_ct_14_com_0_con.mdg0_s_0_d_6_cn_0_ct_14_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,0,30,0,70,0
everest,0_s_0_d_10_cn_0_ct_10_com_0_con.mdg0_s_0_d_10_cn_0_ct_10_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,0,50,0,50,0
everest,0_s_10_d_1_cn_5_ct_4_com_0_con.mdg0_s_10_d_1_cn_5_ct_4_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,50,5,25,20,0
everest,0_s_0_d_0_cn_20_ct_0_com_0_con.mdg0_s_0_d_0_cn_20_ct_0_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,0,0,100,0,0
everest,0_s_8_d_6_cn_0_ct_6_com_0_con.mdg0_s_8_d_6_cn_0_ct_6_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,40,30,0,30,0
everest,0_s_2_d_1_cn_4_ct_13_com_0_con.mdg0_s_2_d_1_cn_4_ct_13_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,10,5,20,65,0
everest,0_s_16_d_2_cn_2_ct_0_com_0_con.mdg0_s_16_d_2_cn_2_ct_0_com_0_con.mdg.bunch,everest_4.rsf,66.66666666666667,50.0,3.0,9.0,0,80,10,10,0,0
everest,0_s_4_d_15_cn_0_ct_1_com_0_con.mdg0_s_4_d_15_cn_0_ct_1_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,20,75,0,5,0
everest,0_s_7_d_4_cn_5_ct_4_com_0_con.mdg0_s_7_d_4_cn_5_ct_4_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,35,20,25,20,0
everest,0_s_3_d_10_cn_4_ct_3_com_0_con.mdg0_s_3_d_10_cn_4_ct_3_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,15,50,20,15,0
