file_name,MQ_Value,static,dynamic,class_names,class_terms,commits,contributors
11_s_1_d_4_cn_4_ct_0_com_0_con.mdg,2.8547570580249757,55,5,20,20,0,0
11_s_6_d_0_cn_3_ct_0_com_0_con.mdg,2.994217703919132,55,30,0,15,0,0
11_s_9_d_0_cn_0_ct_0_com_0_con.mdg,3.5059779256420973,55,45,0,0,0,0
11_s_4_d_5_cn_0_ct_0_com_0_con.mdg,3.7997495590229162,55,20,25,0,0,0
11_s_6_d_2_cn_1_ct_0_com_0_con.mdg,3.283662149182682,55,30,10,5,0,0
11_s_0_d_8_cn_1_ct_0_com_0_con.mdg,3.6385157262310694,55,0,40,5,0,0
11_s_3_d_3_cn_3_ct_0_com_0_con.mdg,2.935396533499667,55,15,15,15,0,0
11_s_5_d_0_cn_4_ct_0_com_0_con.mdg,2.904496889702042,55,25,0,20,0,0
11_s_4_d_2_cn_3_ct_0_com_0_con.mdg,2.9363544166173186,55,20,10,15,0,0
11_s_2_d_4_cn_3_ct_0_com_0_con.mdg,2.9999755104786328,55,10,20,15,0,0
11_s_2_d_6_cn_1_ct_0_com_0_con.mdg,3.538518082871655,55,10,30,5,0,0
11_s_0_d_0_cn_9_ct_0_com_0_con.mdg,2.6542545053087703,55,0,0,45,0,0
11_s_3_d_2_cn_4_ct_0_com_0_con.mdg,2.847673259869668,55,15,10,20,0,0
11_s_6_d_3_cn_0_ct_0_com_0_con.mdg,3.681801505477348,55,30,15,0,0,0
11_s_5_d_1_cn_3_ct_0_com_0_con.mdg,2.9517041793244094,55,25,5,15,0,0
11_s_5_d_3_cn_1_ct_0_com_0_con.mdg,3.3558500402959233,55,25,15,5,0,0
11_s_3_d_5_cn_1_ct_0_com_0_con.mdg,3.48263644574212,55,15,25,5,0,0
11_s_6_d_1_cn_2_ct_0_com_0_con.mdg,3.0653782667666176,55,30,5,10,0,0
11_s_0_d_7_cn_2_ct_0_com_0_con.mdg,3.354562135628482,55,0,35,10,0,0
11_s_4_d_4_cn_1_ct_0_com_0_con.mdg,3.4218094904258143,55,20,20,5,0,0
11_s_3_d_0_cn_6_ct_0_com_0_con.mdg,2.7749035435105966,55,15,0,30,0,0
12_s_1_d_5_cn_2_ct_0_com_0_con.mdg,3.2597874431993414,60,5,25,10,0,0
12_s_7_d_1_cn_0_ct_0_com_0_con.mdg,3.5570834084349072,60,35,5,0,0,0
12_s_1_d_7_cn_0_ct_0_com_0_con.mdg,3.9020024078346576,60,5,35,0,0,0
12_s_3_d_2_cn_3_ct_0_com_0_con.mdg,2.965530528756201,60,15,10,15,0,0
12_s_0_d_3_cn_5_ct_0_com_0_con.mdg,2.796740261553391,60,0,15,25,0,0
12_s_6_d_0_cn_2_ct_0_com_0_con.mdg,3.1451009235968823,60,30,0,10,0,0
12_s_0_d_6_cn_2_ct_0_com_0_con.mdg,3.3154176676369422,60,0,30,10,0,0
12_s_5_d_2_cn_1_ct_0_com_0_con.mdg,3.303173067442535,60,25,10,5,0,0
12_s_3_d_4_cn_1_ct_0_com_0_con.mdg,3.436700695925377,60,15,20,5,0,0
12_s_5_d_0_cn_3_ct_0_com_0_con.mdg,3.027474134130747,60,25,0,15,0,0
12_s_6_d_2_cn_0_ct_0_com_0_con.mdg,3.6272838172812367,60,30,10,0,0,0
12_s_0_d_1_cn_7_ct_0_com_0_con.mdg,2.7152242099082784,60,0,5,35,0,0
12_s_1_d_6_cn_1_ct_0_com_0_con.mdg,3.5500088563160226,60,5,30,5,0,0
12_s_7_d_0_cn_1_ct_0_com_0_con.mdg,3.305810770493706,60,35,0,5,0,0
12_s_2_d_4_cn_2_ct_0_com_0_con.mdg,3.1999319819610057,60,10,20,10,0,0
12_s_4_d_2_cn_2_ct_0_com_0_con.mdg,3.079410280564288,60,20,10,10,0,0
12_s_0_d_8_cn_0_ct_0_com_0_con.mdg,3.943914533001051,60,0,40,0,0,0
12_s_3_d_3_cn_2_ct_0_com_0_con.mdg,3.135727915574568,60,15,15,10,0,0
12_s_2_d_1_cn_5_ct_0_com_0_con.mdg,2.8217489138547998,60,10,5,25,0,0
12_s_0_d_0_cn_8_ct_0_com_0_con.mdg,2.713093355787728,60,0,0,40,0,0
12_s_2_d_6_cn_0_ct_0_com_0_con.mdg,3.856642191321207,60,10,30,0,0,0
12_s_1_d_4_cn_3_ct_0_com_0_con.mdg,3.018608354079212,60,5,20,15,0,0
12_s_5_d_1_cn_2_ct_0_com_0_con.mdg,3.0974591455263516,60,25,5,10,0,0
12_s_4_d_4_cn_0_ct_0_com_0_con.mdg,3.752857212929815,60,20,20,0,0,0
12_s_3_d_5_cn_0_ct_0_com_0_con.mdg,3.8072849056725655,60,15,25,0,0,0
12_s_5_d_3_cn_0_ct_0_com_0_con.mdg,3.6933125956986563,60,25,15,0,0,0
12_s_1_d_1_cn_6_ct_0_com_0_con.mdg,2.7640431979778444,60,5,5,30,0,0
12_s_8_d_0_cn_0_ct_0_com_0_con.mdg,3.5282278626539623,60,40,0,0,0,0
12_s_0_d_4_cn_4_ct_0_com_0_con.mdg,2.873686378565179,60,0,20,20,0,0
12_s_1_d_3_cn_4_ct_0_com_0_con.mdg,2.870203900509127,60,5,15,20,0,0
12_s_3_d_0_cn_5_ct_0_com_0_con.mdg,2.8624681114382065,60,15,0,25,0,0
12_s_0_d_2_cn_6_ct_0_com_0_con.mdg,2.745090445804694,60,0,10,30,0,0
12_s_6_d_1_cn_1_ct_0_com_0_con.mdg,3.251647253569323,60,30,5,5,0,0
12_s_0_d_7_cn_1_ct_0_com_0_con.mdg,3.6003077553908374,60,0,35,5,0,0
12_s_0_d_5_cn_3_ct_0_com_0_con.mdg,3.0775163706821216,60,0,25,15,0,0
12_s_2_d_5_cn_1_ct_0_com_0_con.mdg,3.4956378278592624,60,10,25,5,0,0
12_s_4_d_3_cn_1_ct_0_com_0_con.mdg,3.3728126483154384,60,20,15,5,0,0
12_s_2_d_0_cn_6_ct_0_com_0_con.mdg,2.8034938221531487,60,10,0,30,0,0
12_s_1_d_2_cn_5_ct_0_com_0_con.mdg,2.8036031230001552,60,5,10,25,0,0
12_s_1_d_0_cn_7_ct_0_com_0_con.mdg,2.7537953462898357,60,5,0,35,0,0
12_s_2_d_2_cn_4_ct_0_com_0_con.mdg,2.876101885308097,60,10,10,20,0,0
12_s_4_d_1_cn_3_ct_0_com_0_con.mdg,2.9830185191591276,60,20,5,15,0,0
12_s_2_d_3_cn_3_ct_0_com_0_con.mdg,2.9600227780573993,60,10,15,15,0,0
12_s_3_d_1_cn_4_ct_0_com_0_con.mdg,2.8938994388116246,60,15,5,20,0,0
12_s_4_d_0_cn_4_ct_0_com_0_con.mdg,2.936158404286351,60,20,0,20,0,0
13_s_5_d_0_cn_2_ct_0_com_0_con.mdg,3.1770289189436425,65,25,0,10,0,0
13_s_0_d_1_cn_6_ct_0_com_0_con.mdg,2.7906081546204216,65,0,5,30,0,0
13_s_0_d_3_cn_4_ct_0_com_0_con.mdg,2.8956274508521473,65,0,15,20,0,0
13_s_3_d_4_cn_0_ct_0_com_0_con.mdg,3.7617110592176006,65,15,20,0,0,0
13_s_5_d_2_cn_0_ct_0_com_0_con.mdg,3.640544697676503,65,25,10,0,0,0
13_s_2_d_0_cn_5_ct_0_com_0_con.mdg,2.891071198294834,65,10,0,25,0,0
13_s_3_d_2_cn_2_ct_0_com_0_con.mdg,3.1072270246964915,65,15,10,10,0,0
13_s_0_d_2_cn_5_ct_0_com_0_con.mdg,2.829955438410138,65,0,10,25,0,0
13_s_0_d_0_cn_7_ct_0_com_0_con.mdg,2.7797268683259517,65,0,0,35,0,0
13_s_1_d_1_cn_5_ct_0_com_0_con.mdg,2.849616386132205,65,5,5,25,0,0
13_s_1_d_4_cn_2_ct_0_com_0_con.mdg,3.216797198037168,65,5,20,10,0,0
13_s_7_d_0_cn_0_ct_0_com_0_con.mdg,3.5358145269728727,65,35,0,0,0,0
13_s_1_d_6_cn_0_ct_0_com_0_con.mdg,3.8624782423631316,65,5,30,0,0,0
13_s_2_d_1_cn_4_ct_0_com_0_con.mdg,2.922680518567981,65,10,5,20,0,0
13_s_5_d_1_cn_1_ct_0_com_0_con.mdg,3.2526412272850576,65,25,5,5,0,0
13_s_0_d_5_cn_2_ct_0_com_0_con.mdg,3.2749468114646763,65,0,25,10,0,0
13_s_3_d_0_cn_4_ct_0_com_0_con.mdg,2.9661254364964256,65,15,0,20,0,0
13_s_2_d_2_cn_3_ct_0_com_0_con.mdg,2.993238343931751,65,10,10,15,0,0
13_s_0_d_7_cn_0_ct_0_com_0_con.mdg,3.906494839929469,65,0,35,0,0,0
13_s_6_d_1_cn_0_ct_0_com_0_con.mdg,3.5696146152783395,65,30,5,0,0,0
13_s_2_d_4_cn_1_ct_0_com_0_con.mdg,3.4508984427364493,65,10,20,5,0,0
13_s_4_d_2_cn_1_ct_0_com_0_con.mdg,3.3216786892342745,65,20,10,5,0,0
13_s_3_d_3_cn_1_ct_0_com_0_con.mdg,3.3890595200152545,65,15,15,5,0,0
13_s_3_d_1_cn_3_ct_0_com_0_con.mdg,3.012715106776257,65,15,5,15,0,0
13_s_4_d_0_cn_3_ct_0_com_0_con.mdg,3.058515505085666,65,20,0,15,0,0
13_s_2_d_3_cn_2_ct_0_com_0_con.mdg,3.1543715604240283,65,10,15,10,0,0
13_s_6_d_0_cn_1_ct_0_com_0_con.mdg,3.336946363894912,65,30,0,5,0,0
13_s_0_d_6_cn_1_ct_0_com_0_con.mdg,3.5609446164342664,65,0,30,5,0,0
13_s_0_d_4_cn_3_ct_0_com_0_con.mdg,3.0365519150116227,65,0,20,15,0,0
13_s_1_d_3_cn_3_ct_0_com_0_con.mdg,2.98591153201812,65,5,15,15,0,0
13_s_1_d_0_cn_6_ct_0_com_0_con.mdg,2.8308870048926056,65,5,0,30,0,0
13_s_4_d_1_cn_2_ct_0_com_0_con.mdg,3.1274493437500808,65,20,5,10,0,0
13_s_1_d_5_cn_1_ct_0_com_0_con.mdg,3.508188837016316,65,5,25,5,0,0
13_s_4_d_3_cn_0_ct_0_com_0_con.mdg,3.7040930347138366,65,20,15,0,0,0
13_s_2_d_5_cn_0_ct_0_com_0_con.mdg,3.814416372276599,65,10,25,0,0,0
13_s_1_d_2_cn_4_ct_0_com_0_con.mdg,2.903409018674807,65,5,10,20,0,0
14_s_0_d_2_cn_4_ct_0_com_0_con.mdg,2.929379692977875,70,0,10,20,0,0
14_s_0_d_5_cn_1_ct_0_com_0_con.mdg,3.520136967879985,70,0,25,5,0,0
14_s_0_d_0_cn_6_ct_0_com_0_con.mdg,2.8568928683348664,70,0,0,30,0,0
14_s_1_d_1_cn_4_ct_0_com_0_con.mdg,2.9502428689027433,70,5,5,20,0,0
14_s_0_d_3_cn_3_ct_0_com_0_con.mdg,3.0105385795634847,70,0,15,15,0,0
14_s_2_d_1_cn_3_ct_0_com_0_con.mdg,3.0408041808809365,70,10,5,15,0,0
14_s_2_d_3_cn_1_ct_0_com_0_con.mdg,3.4045408963495087,70,10,15,5,0,0
14_s_2_d_0_cn_4_ct_0_com_0_con.mdg,2.99443496668344,70,10,0,20,0,0
14_s_1_d_0_cn_5_ct_0_com_0_con.mdg,2.918427323012131,70,5,0,25,0,0
14_s_4_d_1_cn_1_ct_0_com_0_con.mdg,3.2787165151292097,70,20,5,5,0,0
14_s_6_d_0_cn_0_ct_0_com_0_con.mdg,3.581795124763426,70,30,0,0,0,0
14_s_0_d_6_cn_0_ct_0_com_0_con.mdg,3.867931485767364,70,0,30,0,0,0
14_s_0_d_4_cn_2_ct_0_com_0_con.mdg,3.2329642535684346,70,0,20,10,0,0
14_s_5_d_0_cn_1_ct_0_com_0_con.mdg,3.3660844210668563,70,25,0,5,0,0
14_s_0_d_1_cn_5_ct_0_com_0_con.mdg,2.8760976015982487,70,0,5,25,0,0
14_s_1_d_3_cn_2_ct_0_com_0_con.mdg,3.172359244319038,70,5,15,10,0,0
14_s_3_d_0_cn_3_ct_0_com_0_con.mdg,3.087805690023905,70,15,0,15,0,0
14_s_1_d_5_cn_0_ct_0_com_0_con.mdg,3.821338876480346,70,5,25,0,0,0
14_s_3_d_2_cn_1_ct_0_com_0_con.mdg,3.3393869964573875,70,15,10,5,0,0
14_s_5_d_1_cn_0_ct_0_com_0_con.mdg,3.586238196215472,70,25,5,0,0,0
14_s_1_d_2_cn_3_ct_0_com_0_con.mdg,3.01981429811971,70,5,10,15,0,0
14_s_2_d_2_cn_2_ct_0_com_0_con.mdg,3.1335637751848684,70,10,10,10,0,0
14_s_2_d_4_cn_0_ct_0_com_0_con.mdg,3.770087346608129,70,10,20,0,0,0
14_s_4_d_2_cn_0_ct_0_com_0_con.mdg,3.652970881134749,70,20,10,0,0,0
14_s_3_d_3_cn_0_ct_0_com_0_con.mdg,3.714371561621684,70,15,15,0,0,0
14_s_3_d_1_cn_2_ct_0_com_0_con.mdg,3.155807383859403,70,15,5,10,0,0
14_s_1_d_4_cn_1_ct_0_com_0_con.mdg,3.4645850974671917,70,5,20,5,0,0
14_s_4_d_0_cn_2_ct_0_com_0_con.mdg,3.151954053333835,70,20,0,10,0,0
15_s_3_d_1_cn_1_ct_0_com_0_con.mdg,3.3343235567109586,75,15,5,5,0,0
15_s_0_d_3_cn_2_ct_0_com_0_con.mdg,3.1896001104365506,75,0,15,10,0,0
15_s_4_d_0_cn_1_ct_0_com_0_con.mdg,3.3492408670834344,75,20,0,5,0,0
15_s_0_d_5_cn_0_ct_0_com_0_con.mdg,3.827825356235806,75,0,25,0,0,0
15_s_2_d_0_cn_3_ct_0_com_0_con.mdg,3.115382670485529,75,10,0,15,0,0
15_s_2_d_2_cn_1_ct_0_com_0_con.mdg,3.356250081681616,75,10,10,5,0,0
15_s_0_d_2_cn_3_ct_0_com_0_con.mdg,3.045014142683832,75,0,10,15,0,0
15_s_1_d_0_cn_4_ct_0_com_0_con.mdg,3.021456220266855,75,5,0,20,0,0
15_s_4_d_1_cn_0_ct_0_com_0_con.mdg,3.6031641509829915,75,20,5,0,0,0
15_s_1_d_1_cn_3_ct_0_com_0_con.mdg,3.06765684327242,75,5,5,15,0,0
15_s_2_d_3_cn_0_ct_0_com_0_con.mdg,3.724090469335626,75,10,15,0,0,0
15_s_0_d_4_cn_1_ct_0_com_0_con.mdg,3.477616554755858,75,0,20,5,0,0
15_s_2_d_1_cn_2_ct_0_com_0_con.mdg,3.182537216342904,75,10,5,10,0,0
15_s_1_d_3_cn_1_ct_0_com_0_con.mdg,3.4194442046016853,75,5,15,5,0,0
15_s_3_d_2_cn_0_ct_0_com_0_con.mdg,3.664800050891174,75,15,10,0,0,0
15_s_3_d_0_cn_2_ct_0_com_0_con.mdg,3.234549023233743,75,15,0,10,0,0
15_s_5_d_0_cn_0_ct_0_com_0_con.mdg,3.5758227710240678,75,25,0,0,0,0
15_s_0_d_1_cn_4_ct_0_com_0_con.mdg,2.976362178472336,75,0,5,20,0,0
15_s_1_d_4_cn_0_ct_0_com_0_con.mdg,3.7781873217803645,75,5,20,0,0,0
15_s_1_d_2_cn_2_ct_0_com_0_con.mdg,3.158790854951253,75,5,10,10,0,0
15_s_0_d_0_cn_5_ct_0_com_0_con.mdg,2.9443322466728516,75,0,0,25,0,0
16_s_2_d_1_cn_1_ct_0_com_0_con.mdg,3.307937427956359,80,10,5,5,0,0
16_s_0_d_3_cn_1_ct_0_com_0_con.mdg,3.4336347087755184,80,0,15,5,0,0
16_s_0_d_1_cn_3_ct_0_com_0_con.mdg,3.0930197163176594,80,0,5,15,0,0
16_s_0_d_0_cn_4_ct_0_com_0_con.mdg,3.0469660186650365,80,0,0,20,0,0
16_s_4_d_0_cn_0_ct_0_com_0_con.mdg,3.6275668893558026,80,20,0,0,0,0
16_s_3_d_1_cn_0_ct_0_com_0_con.mdg,3.619238358317212,80,15,5,0,0,0
16_s_1_d_2_cn_1_ct_0_com_0_con.mdg,3.3724610159242756,80,5,10,5,0,0
16_s_2_d_0_cn_2_ct_0_com_0_con.mdg,3.260684719168235,80,10,0,10,0,0
16_s_2_d_2_cn_0_ct_0_com_0_con.mdg,3.6759775728362385,80,10,10,0,0,0
16_s_1_d_0_cn_3_ct_0_com_0_con.mdg,3.1416477913367777,80,5,0,15,0,0
16_s_0_d_2_cn_2_ct_0_com_0_con.mdg,3.1826231793370554,80,0,10,10,0,0
16_s_3_d_0_cn_1_ct_0_com_0_con.mdg,3.4181066590495353,80,15,0,5,0,0
16_s_1_d_1_cn_2_ct_0_com_0_con.mdg,3.2080462468360897,80,5,5,10,0,0
16_s_1_d_3_cn_0_ct_0_com_0_con.mdg,3.7334581607119848,80,5,15,0,0,0
16_s_0_d_4_cn_0_ct_0_com_0_con.mdg,3.7857922220824625,80,0,20,0,0,0
17_s_1_d_1_cn_1_ct_0_com_0_con.mdg,3.360641947242738,85,5,5,5,0,0
17_s_2_d_1_cn_0_ct_0_com_0_con.mdg,3.6343266239782768,85,10,5,0,0,0
17_s_0_d_2_cn_1_ct_0_com_0_con.mdg,3.3878956242287126,85,0,10,5,0,0
17_s_0_d_0_cn_3_ct_0_com_0_con.mdg,3.1663520274017385,85,0,0,15,0,0
17_s_2_d_0_cn_1_ct_0_com_0_con.mdg,3.44150913858221,85,10,0,5,0,0
17_s_0_d_1_cn_2_ct_0_com_0_con.mdg,3.232040175704166,85,0,5,10,0,0
17_s_0_d_3_cn_0_ct_0_com_0_con.mdg,3.7422652882617324,85,0,15,0,0,0
17_s_1_d_0_cn_2_ct_0_com_0_con.mdg,3.285520591986173,85,5,0,10,0,0
17_s_1_d_2_cn_0_ct_0_com_0_con.mdg,3.6867199237461135,85,5,10,0,0,0
17_s_3_d_0_cn_0_ct_0_com_0_con.mdg,3.6479225605477854,85,15,0,0,0,0
18_s_2_d_0_cn_0_ct_0_com_0_con.mdg,3.6680209187437494,90,10,0,0,0,0
18_s_1_d_0_cn_1_ct_0_com_0_con.mdg,3.463822354882771,90,5,0,5,0,0
18_s_0_d_2_cn_0_ct_0_com_0_con.mdg,3.6968286311613263,90,0,10,0,0,0
18_s_0_d_0_cn_2_ct_0_com_0_con.mdg,3.265314675924453,90,0,0,10,0,0
18_s_1_d_1_cn_0_ct_0_com_0_con.mdg,3.648718309561483,90,5,5,0,0,0
18_s_0_d_1_cn_1_ct_0_com_0_con.mdg,3.4032471733255814,90,0,5,5,0,0
